PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,BIRDIE_TO_BOGEY_RATIO,AVG_TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCORING_AVERAGE,SCRAMBLING_PERCENTAGE,AVG_THREE_PUTTS_PER_ROUND,AVG_PUTTS_PER_ROUND
32839,Hideki Matsuyama,2022 Fortinet Championship,68.29,1.77,304.7,59.37,69.49,64.23,0.53,28.71
25900,Lucas Glover,2022 Fortinet Championship,68.28,1.21,297.5,67.54,70.78,54.43,0.68,29.83
46340,Alex Smalley,2022 Fortinet Championship,68.28,1.42,306.5,60.41,70.12,60.45,0.52,29.26
20229,Stewart Cink,2022 Fortinet Championship,68.25,1.18,306.2,59.81,70.69,51.82,0.53,29.56
49947,Taylor Moore,2022 Fortinet Championship,68.25,1.44,302.0,61.76,70.2,58.75,0.55,29.04
29420,Billy Horschel,2022 Fortinet Championship,68.17,1.55,297.3,65.05,69.8,62.59,0.49,28.9
36699,Patrick Rodgers,2022 Fortinet Championship,68.17,1.33,309.3,50.98,70.31,59.34,0.48,29.41
30163,Henrik Norlander,2022 Fortinet Championship,68.13,1.19,291.0,62.35,70.71,57.63,0.51,29.61
36326,David Lipsky,2022 Fortinet Championship,68.12,1.3,295.2,65.24,70.34,56.83,0.58,29.38
27064,Jhonattan Vegas,2022 Fortinet Championship,68.11,1.36,315.7,55.39,70.17,57.01,0.51,29.32
51890,Greyson Sigg,2022 Fortinet Championship,68.09,1.46,294.9,62.87,70.23,61.12,0.39,29.21
35891,Cameron Smith,2022 Fortinet Championship,68.01,1.87,299.7,57.49,68.89,59.94,0.29,28.08
31646,Emiliano Grillo,2022 Fortinet Championship,67.92,1.47,305.6,64.07,70.13,57.94,0.49,29.29
45486,Joaquin Niemann,2022 Fortinet Championship,67.92,1.64,309.1,56.71,69.5,61.9,0.5,28.64
34076,Joel Dahmen,2022 Fortinet Championship,67.91,1.29,292.1,67.88,70.41,55.4,0.54,29.53
33204,Shane Lowry,2022 Fortinet Championship,67.91,1.64,306.9,61.36,69.66,67.46,0.53,28.78
33399,Adam Hadwin,2022 Fortinet Championship,67.84,1.5,297.2,63.71,70.08,61.61,0.4,28.93
